0,0,6.943590111784825,6.978331937248692,-1,-1,-1,4
1,0,3.0644782863484927,5.024981560311498,-1,-1,-1,3
2,0,10.964930561793665,7.033617707250509,-1,-1,-1,5
3,0,11.051694916299189,8.007078557243403,5,-1,5,-1
4,0,10.998503529475355,4.050180880480348,-1,-1,5,5
5,0,10.056493909044052,7.0078160193180405,-1,-1,5,5
6,0,1.045761342782818,5.971826742800966,-1,-1,-1,3
7,0,6.987232335460952,9.954316789782846,6,-1,-1,7
8,0,2.030702689290429,2.97934223239953,8,8,-1,0
9,0,8.017599246864565,4.049996801567638,6,-1,-1,5
10,0,9.059800547563762,2.042166834693796,-1,-1,5,-1
11,0,12.0,2.04089712735305,-1,-1,5,2
12,0,1.957601273850194,1.039160582268557,-1,-1,-1,0
13,0,9.04538946968372,6.064851165148158,6,6,-1,5
14,0,1.9217738245928928,0.0,6,6,-1,0
15,0,9.94500366053424,5.984410065499571,6,-1,-1,5
16,0,7.025776901281456,0.0555935843587885,-1,-1,5,1
17,0,7.031623233595035,6.027932081354202,-1,-1,-1,4
18,0,10.931405524090902,4.005706074384173,8,-1,-1,5
19,0,1.0183761478153204,8.068077179163256,-1,-1,-1,6
20,0,0.0,12.0,7,-1,7,6
21,0,8.961808715953072,4.990493297711407,-1,6,-1,5
22,0,4.955426125069334,6.016626998513186,6,6,-1,-1
23,0,4.046958357136552,7.010261355847245,4,-1,5,4
24,0,8.996183934770922,9.9695600186618,-1,6,5,8
25,0,8.035773046650728,0.0555360247049373,-1,-1,4,-1
26,0,7.95232486367703,1.0088530248437992,-1,-1,-1,1
27,0,4.943038741663991,3.009998060673561,8,8,-1,-1
28,0,9.93211259283715,11.931982906143883,6,-1,-1,8
29,0,7.047467635537336,10.972373663500315,8,6,-1,7
0,5,6.876529957865047,6.9525010546581205,-1,-1,-1,4
1,5,3.1196305597543,5.047790120626799,-1,-1,-1,3
2,5,10.919540818025808,7.077473423076001,-1,-1,-1,5
3,5,11.119935854612883,8.015017601315465,5,-1,5,-1
4,5,10.9970062735061,4.111477847418104,-1,-1,5,5
5,5,10.104791640985118,7.015331347986453,-1,-1,5,5
6,5,1.0750399673114095,5.952838152470145,-1,-1,-1,3
7,5,6.9667671790539245,9.87510969975749,6,-1,-1,7
8,5,2.086195797335759,2.941258121317359,8,8,-1,0
9,5,8.029798101101271,4.086193439436848,6,-1,-1,5
10,5,9.107774790837103,2.0755369372164747,-1,-1,5,-1
11,5,12.0,2.103448127920108,-1,-1,5,2
12,5,1.926259484191429,1.0676123094080645,-1,-1,-1,0
13,5,9.07487000373041,6.106534020186385,8,6,-1,5
14,5,1.8665074795369756,0.0,6,6,-1,0
15,5,9.90763315027627,5.9738775601780265,6,-1,-1,5
16,5,7.046062865555743,0.0997535550990968,-1,-1,5,1
17,5,7.0857467064584965,6.075471284905622,-1,-1,-1,4
18,5,10.875180631760758,4.010334113995173,8,-1,-1,5
19,5,1.032650401539592,8.121095380812301,-1,-1,-1,6
20,5,0.0,12.0,7,-1,7,6
21,5,8.894253986840056,4.970846774115499,-1,8,-1,5
22,5,4.897027564688845,6.038236104507162,6,6,-1,-1
23,5,4.112752034326404,7.025061242286625,4,-1,5,4
24,5,8.991764847369883,9.934047056331922,-1,6,5,8
25,5,8.070201826579485,0.1056693120352644,-1,-1,4,-1
26,5,7.89359364614556,1.0208335268452835,-1,-1,-1,1
27,5,4.903786675429904,3.017111544542092,8,8,-1,-1
28,5,9.898565669815584,11.897969391232907,6,-1,-1,8
29,5,7.087308441820192,10.948329765570946,6,6,-1,7
0,10,6.8310196536942325,6.935367101079386,-1,-1,-1,4
1,10,3.187730266826539,5.076632077085878,-1,-1,-1,3
